inds	Country	Region	Locality	Land_use
87_TchZ1_mayo_ve_pl1_F10	Tchad	Logone Oriental	Mayongo	Verger
89_TchZ1_mayo_ja_pl1_G10	Tchad	Logone Oriental	Mayongo	Jachare
90_TchZ1_mayo_ja_pl1_H10	Tchad	Logone Oriental	Mayongo	Jachare
91_TchZ1_mayo_ja_pl1_A11	Tchad	Logone Oriental	Mayongo	Jachare
92_TchZ1_mayo_ja_pl1_B11	Tchad	Logone Oriental	Mayongo	Jachare
93_TchZ1_kana_ve_pl1_C11	Tchad	Logone Occidental	Kana	Verger
94_TchZ1_kana_ve_pl1_D11	Tchad	Logone Occidental	Kana	Verger
95_TchZ1_kana_ve_pl1_E11	Tchad	Logone Occidental	Kana	Verger
96_TchZ1_kana_ve_pl1_F11	Tchad	Logone Occidental	Kana	Verger
97_TchZ1_kana_ve_pl1_G11	Tchad	Logone Occidental	Kana	Verger
98_TchZ1_kana_ve_pl1_H11	Tchad	Logone Occidental	Kana	Verger
99_TchZ1_kana_ve_pl1_A12	Tchad	Logone Occidental	Kana	Verger
100_TchZ1_kana_ve_pl1_B12	Tchad	Logone Occidental	Kana	Verger
101_TchZ1_kana_ve_pl1_C12	Tchad	Logone Occidental	Kana	Verger
102_TchZ1_kana_ve_pl1_D12	Tchad	Logone Occidental	Kana	Verger
103_TchZ1_kana_ve_pl1_E12	Tchad	Logone Occidental	Kana	Verger
105_TchZ1_kana_ve_pl1_F12	Tchad	Logone Occidental	Kana	Verger
106_TchZ1_kana_ve_pl1_G12	Tchad	Logone Occidental	Kana	Verger
107_TchZ1_kana_ve_pl1_H12	Tchad	Logone Occidental	Kana	Verger
108_TchZ1_kana_ve_pl2_A1	Tchad	Logone Occidental	Kana	Verger
109_TchZ1_kana_ve_pl2_B1	Tchad	Logone Occidental	Kana	Verger
110_TchZ1_kana_ve_pl2_C1	Tchad	Logone Occidental	Kana	Verger
111_TchZ1_kana_ve_pl2_D1	Tchad	Logone Occidental	Kana	Verger
113_TchZ1_kana_ve_pl2_E1	Tchad	Logone Occidental	Kana	Verger
115_TchZ1_kana_ve_pl2_F1	Tchad	Logone Occidental	Kana	Verger
116_TchZ1_kana_ve_pl2_G1	Tchad	Logone Occidental	Kana	Verger
117_TchZ1_kana_ve_pl2_H1	Tchad	Logone Occidental	Kana	Verger
118_TchZ1_kana_ve_pl2_A2	Tchad	Logone Occidental	Kana	Verger
119_TchZ1_kana_ve_pl2_B2	Tchad	Logone Occidental	Kana	Verger
121_TchZ1_kana_ve_pl2_C2	Tchad	Logone Occidental	Kana	Verger
122_TchZ1_kana_ve_pl2_D2	Tchad	Logone Occidental	Kana	Verger
123_TchZ1_kana_ve_pl2_E2	Tchad	Logone Occidental	Kana	Verger
124_TchZ1_tcho_fo_pl2_F2	Tchad	Tandjile	Tchoua	Foret
