�..Taxa	Taxa.Name	Pays	Region	Localite.population.	Types.d.utilisations.des.terres
483	TchZ1-tcho_ch-pl2-G3-135	TCHAD	Tandjile	Tchoua	Champ
484	TchZ1-tcho_ch-pl2-G4-145	TCHAD	Tandjile	Tchoua	Champ
485	TchZ1-tcho_ch-pl2-G5-154	TCHAD	Tandjile	Tchoua	Champ
486	TchZ1-tcho_ch-pl2-H4-146	TCHAD	Tandjile	Tchoua	Champ
487	TchZ1-tcho_fo-pl2-A4-138	TCHAD	Tandjile	Tchoua	Champ
488	TchZ1-tcho_fo-pl2-B4-139	TCHAD	Tandjile	Tchoua	Foret
489	TchZ1-tcho_fo-pl2-F2-124	TCHAD	Tandjile	Tchoua	Foret
383	TchZ1-kemk_ch-pl2-A6-156	TCHAD	Mandoul	Kemkiam	Champ
384	TchZ1-kemk_ch-pl2-A7-165	TCHAD	Mandoul	Kemkiam	Champ
385	TchZ1-kemk_ch-pl2-A8-174	TCHAD	Mandoul	Kemkiam	Champ
386	TchZ1-kemk_ch-pl2-B6-157	TCHAD	Mandoul	Kemkiam	Champ
387	TchZ1-kemk_ch-pl2-B7-166	TCHAD	Mandoul	Kemkiam	Champ
388	TchZ1-kemk_ch-pl2-B8-175	TCHAD	Mandoul	Kemkiam	Champ
389	TchZ1-kemk_ch-pl2-C6-158	TCHAD	Mandoul	Kemkiam	Champ
390	TchZ1-kemk_ch-pl2-C7-167	TCHAD	Mandoul	Kemkiam	Champ
391	TchZ1-kemk_ch-pl2-D6-159	TCHAD	Mandoul	Kemkiam	Champ
392	TchZ1-kemk_ch-pl2-D7-169	TCHAD	Mandoul	Kemkiam	Champ
393	TchZ1-kemk_ch-pl2-E6-161	TCHAD	Mandoul	Kemkiam	Champ
394	TchZ1-kemk_ch-pl2-F6-162	TCHAD	Mandoul	Kemkiam	Champ
395	TchZ1-kemk_ch-pl2-G6-163	TCHAD	Mandoul	Kemkiam	Champ
396	TchZ1-kemk_ch-pl2-G7-172	TCHAD	Mandoul	Kemkiam	Champ
397	TchZ1-kemk_ch-pl2-H5-155	TCHAD	Mandoul	Kemkiam	Champ
398	TchZ1-kemk_ch-pl2-H6-164	TCHAD	Mandoul	Kemkiam	Champ
399	TchZ1-kemk_ch-pl2-H7-173	TCHAD	Mandoul	Kemkiam	Champ
341	TchZ1-kaga_ch-pl2-D10-196	TCHAD	Moyen-Chari	Kagala	Champ
342	TchZ1-kaga_ch-pl2-E10-197	TCHAD	Moyen-Chari	Kagala	Champ
343	TchZ1-kaga_ch-pl2-F10-198	TCHAD	Moyen-Chari	Kagala	Champ
344	TchZ1-kaga_ch-pl2-G10-199	TCHAD	Moyen-Chari	Kagala	Champ
345	TchZ1-kaga_ja-pl2-A10-193	TCHAD	Moyen-Chari	Kagala	Jachère
346	TchZ1-kaga_ja-pl2-A11-202	TCHAD	Moyen-Chari	Kagala	Jachère
347	TchZ1-kaga_ja-pl2-A9-185	TCHAD	Moyen-Chari	Kagala	Jachère
348	TchZ1-kaga_ja-pl2-B10-194	TCHAD	Moyen-Chari	Kagala	Jachère
349	TchZ1-kaga_ja-pl2-B9-186	TCHAD	Moyen-Chari	Kagala	Jachère
350	TchZ1-kaga_ja-pl2-C10-195	TCHAD	Moyen-Chari	Kagala	Jachère
351	TchZ1-kaga_ja-pl2-C8-178	TCHAD	Moyen-Chari	Kagala	Jachère
352	TchZ1-kaga_ja-pl2-C9-187	TCHAD	Moyen-Chari	Kagala	Jachère
353	TchZ1-kaga_ja-pl2-D8-179	TCHAD	Moyen-Chari	Kagala	Jachère
354	TchZ1-kaga_ja-pl2-D9-188	TCHAD	Moyen-Chari	Kagala	Jachère
355	TchZ1-kaga_ja-pl2-E8-180	TCHAD	Moyen-Chari	Kagala	Jachère
356	TchZ1-kaga_ja-pl2-E9-189	TCHAD	Moyen-Chari	Kagala	Jachère
357	TchZ1-kaga_ja-pl2-F8-181	TCHAD	Moyen-Chari	Kagala	Jachère
358	TchZ1-kaga_ja-pl2-F9-190	TCHAD	Moyen-Chari	Kagala	Jachère
359	TchZ1-kaga_ja-pl2-G8-182	TCHAD	Moyen-Chari	Kagala	Jachère
360	TchZ1-kaga_ja-pl2-G9-191	TCHAD	Moyen-Chari	Kagala	Jachère
361	TchZ1-kaga_ja-pl2-H10-201	TCHAD	Moyen-Chari	Kagala	Jachère
362	TchZ1-kaga_ja-pl2-H8-183	TCHAD	Moyen-Chari	Kagala	Jachère
363	TchZ1-kaga_ja-pl2-H9-192	TCHAD	Moyen-Chari	Kagala	Jachère
26	CmrZ2-kani_ca-pl2-B12-213	CAMEROUN	Extreme-Nord	Mayo-kani	Champ agricole
27	CmrZ2-kani_ca-pl2-C11-204	CAMEROUN	Extreme-Nord	Mayo-kani	Champ agricole
28	CmrZ2-kani_ca-pl2-D11-205	CAMEROUN	Extreme-Nord	Mayo-kani	Champ agricole
29	CmrZ2-kani_ca-pl2-D12-215	CAMEROUN	Extreme-Nord	Mayo-kani	Champ agricole
30	CmrZ2-kani_ca-pl2-E11-206	CAMEROUN	Extreme-Nord	Mayo-kani	Champ agricole
31	CmrZ2-kani_ca-pl2-G11-210	CAMEROUN	Extreme-Nord	Mayo-kani	Champ agricole
32	CmrZ2-kani_ca-pl2-G12-219	CAMEROUN	Extreme-Nord	Mayo-kani	Champ agricole
33	CmrZ2-kani_ca-pl2-H11-211	CAMEROUN	Extreme-Nord	Mayo-kani	Champ agricole
34	CmrZ2-kani_ca-pl3-A1-221	CAMEROUN	Extreme-Nord	Mayo-kani	Champ agricole
35	CmrZ2-kani_ca-pl3-B1-222	CAMEROUN	Extreme-Nord	Mayo-kani	Champ agricole
36	CmrZ2-kani_ca-pl3-C1-223	CAMEROUN	Extreme-Nord	Mayo-kani	Champ agricole
37	CmrZ2-kani_ca-pl3-D1-224	CAMEROUN	Extreme-Nord	Mayo-kani	Champ agricole
38	CmrZ2-kani_ca-pl3-F1-226	CAMEROUN	Extreme-Nord	Mayo-kani	Champ agricole
39	CmrZ2-kani_ca-pl3-G1-227	CAMEROUN	Extreme-Nord	Mayo-kani	Champ agricole
40	CmrZ2-kani_ca-pl3-H1-228	CAMEROUN	Extreme-Nord	Mayo-kani	Champ agricole
41	CmrZ2-kani_sn-pl3-A3-238	CAMEROUN	Extreme-Nord	Mayo-kani	Savane naturelle
42	CmrZ2-kani_sn-pl3-B2-230	CAMEROUN	Extreme-Nord	Mayo-kani	Savane naturelle
43	CmrZ2-kani_sn-pl3-B3-239	CAMEROUN	Extreme-Nord	Mayo-kani	Savane naturelle
44	CmrZ2-kani_sn-pl3-C2-231	CAMEROUN	Extreme-Nord	Mayo-kani	Savane naturelle
45	CmrZ2-kani_sn-pl3-C3-241	CAMEROUN	Extreme-Nord	Mayo-kani	Savane naturelle
46	CmrZ2-kani_sn-pl3-D2-233	CAMEROUN	Extreme-Nord	Mayo-kani	Savane naturelle
47	CmrZ2-kani_sn-pl3-E2-234	CAMEROUN	Extreme-Nord	Mayo-kani	Savane naturelle
48	CmrZ2-kani_sn-pl3-F3-252	CAMEROUN	Extreme-Nord	Mayo-kani	Savane naturelle
49	CmrZ2-kani_sn-pl3-G2-236	CAMEROUN	Extreme-Nord	Mayo-kani	Savane naturelle
50	CmrZ2-kani_sn-pl3-G3-253	CAMEROUN	Extreme-Nord	Mayo-kani	Savane naturelle
51	CmrZ2-kani_sn-pl3-H2-237	CAMEROUN	Extreme-Nord	Mayo-kani	Savane naturelle
52	CmrZ2-kani_sn-pl3-H3-254	CAMEROUN	Extreme-Nord	Mayo-kani	Savane naturelle
0	CmrZ2-dana_ca-pl3-A5-263	CAMEROUN	Extreme-Nord	Mayo-Dana	Champ agricole
1	CmrZ2-dana_ca-pl3-B4-256	CAMEROUN	Extreme-Nord	Mayo-Dana	Champ agricole
2	CmrZ2-dana_ca-pl3-C4-257	CAMEROUN	Extreme-Nord	Mayo-Dana	Champ agricole
3	CmrZ2-dana_ca-pl3-C5-265	CAMEROUN	Extreme-Nord	Mayo-Dana	Champ agricole
4	CmrZ2-dana_ca-pl3-C6-273	CAMEROUN	Extreme-Nord	Mayo-Dana	Champ agricole
5	CmrZ2-dana_ca-pl3-D4-258	CAMEROUN	Extreme-Nord	Mayo-Dana	Champ agricole
6	CmrZ2-dana_ca-pl3-D5-266	CAMEROUN	Extreme-Nord	Mayo-Dana	Champ agricole
7	CmrZ2-dana_ca-pl3-D6-274	CAMEROUN	Extreme-Nord	Mayo-Dana	Champ agricole
8	CmrZ2-dana_ca-pl3-F4-260	CAMEROUN	Extreme-Nord	Mayo-Dana	Champ agricole
9	CmrZ2-dana_ca-pl3-F5-268	CAMEROUN	Extreme-Nord	Mayo-Dana	Champ agricole
10	CmrZ2-dana_ca-pl3-H4-262	CAMEROUN	Extreme-Nord	Mayo-Dana	Champ agricole
11	CmrZ2-dana_sn-pl3-A7-279	CAMEROUN	Extreme-Nord	Mayo-Dana	Savane naturelle
12	CmrZ2-dana_sn-pl3-A8-288	CAMEROUN	Extreme-Nord	Mayo-Dana	Savane naturelle
13	CmrZ2-dana_sn-pl3-B7-280	CAMEROUN	Extreme-Nord	Mayo-Dana	Savane naturelle
14	CmrZ2-dana_sn-pl3-B8-289	CAMEROUN	Extreme-Nord	Mayo-Dana	Savane naturelle
15	CmrZ2-dana_sn-pl3-C7-282	CAMEROUN	Extreme-Nord	Mayo-Dana	Savane naturelle
16	CmrZ2-dana_sn-pl3-C8-290	CAMEROUN	Extreme-Nord	Mayo-Dana	Savane naturelle
17	CmrZ2-dana_sn-pl3-D7-283	CAMEROUN	Extreme-Nord	Mayo-Dana	Savane naturelle
18	CmrZ2-dana_sn-pl3-E6-275	CAMEROUN	Extreme-Nord	Mayo-Dana	Savane naturelle
19	CmrZ2-dana_sn-pl3-E8-292	CAMEROUN	Extreme-Nord	Mayo-Dana	Savane naturelle
20	CmrZ2-dana_sn-pl3-F6-276	CAMEROUN	Extreme-Nord	Mayo-Dana	Savane naturelle
21	CmrZ2-dana_sn-pl3-G6-277	CAMEROUN	Extreme-Nord	Mayo-Dana	Savane naturelle
22	CmrZ2-dana_sn-pl3-G8-294	CAMEROUN	Extreme-Nord	Mayo-Dana	Savane naturelle
23	CmrZ2-dana_sn-pl3-H6-278	CAMEROUN	Extreme-Nord	Mayo-Dana	Savane naturelle
